sequence,latency,cpu,memory,risk,severity,trend,likely_cause,prediction,actual_phase,actual_anomaly,root_cause,evidence,explanation,recommended_action
118,318.43,80.16,92.56,75.04,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
119,304.88,75.61,92.95,73.92,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
120,309.26,80.62,92.58,72.93,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
121,330.79,85.29,93.43,74.04,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
122,337.68,83.79,93.47,75.16,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
123,343.46,82.8,94.15,74.77,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
124,334.81,83.87,94.74,72.41,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
125,382.79,87.71,96.34,77.72,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
126,351.49,88.48,95.04,74.86,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
127,415.1,84.47,94.5,74.57,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
128,371.29,81.56,95.03,72.31,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
129,376.52,89.42,96.0,72.41,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
130,437.52,92.85,95.54,74.94,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
131,382.03,91.48,94.94,64.48,WARNING,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
132,453.86,93.96,95.78,74.46,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
133,394.61,94.9,96.22,71.64,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
134,475.06,86.48,95.99,76.14,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
135,463.28,91.83,96.27,70.34,CRITICAL,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
136,493.86,88.9,96.68,70.53,CRITICAL,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
137,497.71,94.07,97.52,76.22,CRITICAL,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
138,481.82,88.35,98.13,70.74,CRITICAL,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
139,535.06,91.12,98.5,75.04,CRITICAL,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
140,545.24,97.33,97.48,77.77,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
141,615.38,99.48,97.38,83.25,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
142,601.55,96.57,98.83,83.38,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
143,561.03,97.11,98.74,79.1,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
144,552.04,91.92,96.42,69.47,WARNING,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
145,612.69,98.05,99.41,71.02,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
146,639.2,100.0,97.26,71.15,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
147,597.05,96.57,98.83,63.35,WARNING,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
148,667.33,90.96,98.61,69.29,WARNING,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
149,639.58,99.59,99.14,76.34,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
150,667.1,96.46,98.15,76.58,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,failure,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
151,179.44,72.87,89.21,34.53,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,CPU pressure,CPU utilization is high | Response latency is increasing,High CPU utilization is likely contributing to service degradation.,"Investigate CPU-intensive processes, optimize service workload and check unusually high processing."
152,179.94,66.62,89.02,33.97,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
153,170.12,63.31,88.87,33.41,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
154,156.58,70.51,88.99,33.96,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,CPU pressure,CPU utilization is high | Response latency is increasing,High CPU utilization is likely contributing to service degradation.,"Investigate CPU-intensive processes, optimize service workload and check unusually high processing."
155,156.4,63.47,88.53,32.82,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
156,155.85,62.88,88.88,32.87,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
157,149.04,57.51,87.71,32.72,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
158,131.52,52.9,88.68,32.84,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
159,155.99,54.91,87.7,33.8,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
160,141.83,63.1,87.79,33.81,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
161,134.31,49.2,85.27,33.5,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
162,132.02,48.01,85.07,32.93,EARLY WARNING,RECOVERING,Latency degradation,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
163,122.13,45.24,87.21,33.74,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
164,127.09,46.67,86.7,34.22,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
165,117.69,42.31,86.39,33.09,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
166,115.8,39.99,84.68,31.8,EARLY WARNING,RECOVERING,Latency degradation,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
167,103.54,37.16,85.22,32.41,EARLY WARNING,RECOVERING,Combined resource pressure,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
168,113.7,35.32,84.59,32.87,EARLY WARNING,RECOVERING,Latency degradation,System is recovering,recovery,0,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
169,96.08,36.26,83.32,32.71,EARLY WARNING,RECOVERING,Latency degradation,System is recovering,recovery,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
170,90.73,36.08,82.78,31.56,EARLY WARNING,RECOVERING,Latency degradation,System is recovering,recovery,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
171,91.57,33.99,82.91,32.66,EARLY WARNING,RECOVERING,Latency degradation,System is recovering,recovery,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
172,81.97,30.61,83.36,31.96,EARLY WARNING,RECOVERING,Latency degradation,System is recovering,recovery,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
173,83.42,27.62,82.49,32.38,EARLY WARNING,RECOVERING,Latency degradation,System is recovering,recovery,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
174,79.79,23.75,82.5,28.0,EARLY WARNING,RECOVERING,Latency degradation,System is recovering,recovery,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
175,70.01,28.68,81.11,26.17,EARLY WARNING,RECOVERING,Latency degradation,System is recovering,recovery,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
176,61.8,20.29,81.42,17.7,NORMAL,RECOVERING,Latency degradation,System is recovering,recovery,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
177,64.27,20.67,81.55,19.66,NORMAL,RECOVERING,Latency degradation,System is recovering,recovery,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
178,54.07,21.39,79.72,15.25,NORMAL,RECOVERING,Latency degradation,System is recovering,recovery,0,No significant issue,System metrics are within the expected range,No significant performance problem is currently evident.,Continue normal monitoring.
179,52.71,19.94,79.66,13.06,NORMAL,RECOVERING,Latency degradation,System is recovering,recovery,0,No significant issue,System metrics are within the expected range,No significant performance problem is currently evident.,Continue normal monitoring.
180,49.04,21.02,79.54,12.11,NORMAL,RECOVERING,CPU pressure,System is recovering,recovery,0,No significant issue,System metrics are within the expected range,No significant performance problem is currently evident.,Continue normal monitoring.
